ID,Tittle,Author,Year,Format,File
1,Negeri Para Bedebah,Tere Liye,2012,PDF,ebook/Negeri Para Bedebah- Tere Liye.pdf 
2,Edensor,Andrea Hirata, 2007,PDF,ebook/Edensor.pdf
3,Tentang Kamu, Tere Liye, 2016,PDF,ebook/Tentang Kamu.pdf
4,Ayat - Ayat Api,Sapardi Djoko Damono,2017,PDF,ebook/Ayat - Ayat Api.pdf
5,Royan Revolusi,Ramadhan K.H,1986,PDF,ebook/Royan Revolusi.pdf
6,Dunia Sophie,Josteion Gaarder,2014,PDF,ebook/Dunia Sophie.pdf
7,Ayah,Andrea Hirata,2015,PDF,ebook/Ayah.pdf
8,Senja,Boy Candra,2015,PDF,ebook/Senja, Hujan, Cerita yang Telah Usai.pdf
9,Marketing Communications,Olujimi Kayode,2014,PDF,ebook/Marketing Communications.pdf
10,The Seven Spirits of God,Chris Oyakilome,2006,PDF,ebook/The Seven Spirits of God.pdf
11,Kuliah Umum,Nur Zulfa Fauziyah,2025,PDF,ebook/Nur Zulfa Fauziyah_Kuliah Umum.pdf
